联通信号源,#genre#
CCTV1,rtsp://123.147.115.101/PLTV/88888888/224/3221225581/10000100000000060000000000061281_0.smil
CCTV2,rtsp://123.147.115.101/PLTV/88888888/224/3221225487/10000100000000060000000000021305_0.smil
CCTV3,rtsp://123.147.115.101/PLTV/88888888/224/3221225601/10000100000000060000000000061316_0.smil
CCTV4,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000342?AuthInfo=xxx&userid=
CCTV5,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000304?AuthInfo=xxx&userid=
CCTV5+,rtsp://123.147.115.101/PLTV/88888888/224/3221225538/10000100000000060000000000026166_0.smil
CCTV6,rtsp://123.147.115.101/PLTV/88888888/224/3221225600/10000100000000060000000000061315_0.smil
CCTV7,rtsp://123.147.115.101/PLTV/88888888/224/3221225488/10000100000000060000000000021306_0.smil
CCTV8,rtsp://123.147.115.101/PLTV/88888888/224/3221225594/10000100000000060000000000061302_0.smil
CCTV9,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000294?AuthInfo=xxx&userid=
CCTV10,rtsp://123.147.115.101/PLTV/88888888/224/3221225596/10000100000000060000000000061311_0.smil
CCTV12,rtsp://123.147.115.101/PLTV/88888888/224/3221225598/10000100000000060000000000061313_0.smil
CCTV13,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000387?AuthInfo=xxx&userid=
CCTV14,rtsp://123.147.115.101/PLTV/88888888/224/3221225599/10000100000000060000000000061314_0.smil
CCTV16,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000381?AuthInfo=xxx&userid=
CCTV16 4K,http://111.11.123.31:6610/000000001000/5000000008000023254/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=bestzb&Contentid=5000000008000023254
CCTV 超高清,http://lu1.cc/itv/php/cctv4k.php
移动信号源,#genre#
CCTV1,http://39.134.3.73:6610/000000001666/100000000100111211/1.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.134.3.73:6610/000000001666/100000000100111001/1.m3u8?IASHttpSessionId=OTT
CCTV4,http://39.134.3.73:6610/000000001666/100000000100111003/1.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.134.3.73:6610/000000001666/100000000100111005/1.m3u8?IASHttpSessionId=OTT
CCTV7,http://39.134.3.73:6610/000000001666/100000000100111007/1.m3u8?IASHttpSessionId=OTT
CCTV9,http://39.134.3.73:6610/000000001666/100000000100111009/1.m3u8?IASHttpSessionId=OTT
CCTV10,http://39.134.3.73:6610/000000001666/100000000100111010/1.m3u8?IASHttpSessionId=OTT
CCTV11,http://39.134.3.73:6610/000000001666/100000000100111011/1.m3u8?IASHttpSessionId=OTT
CCTV12,http://39.134.3.73:6610/000000001666/100000000100111012/1.m3u8?IASHttpSessionId=OTT
CCTV13,http://39.134.3.73:6610/000000001666/100000000100111013/1.m3u8?IASHttpSessionId=OTT
CCTV14,http://39.134.3.73:6610/000000001666/100000000100111014/1.m3u8?IASHttpSessionId=OTT
CCTV15,http://39.134.3.73:6610/000000001666/100000000100111015/1.m3u8?IASHttpSessionId=OTT
CCTV16,http://39.134.3.73:6610/000000001666/100000000100111091/1.m3u8?IASHttpSessionId=OTT
CCTV16-4K,http://39.134.3.73:6610/000000001666/100000000100111092/1.m3u8?IASHttpSessionId=OTT
CCTV17,http://39.134.3.73:6610/000000001666/100000000100111016/1.m3u8?IASHttpSessionId=OTT
CCTV中视购物,http://39.134.3.73:6610/000000001666/100000000100111084/1.m3u8?IASHttpSessionId=OTT
东南卫视,http://39.134.3.73:6610/000000001666/100000000100111028/1.m3u8?IASHttpSessionId=OTT
东方卫视,http://39.134.3.73:6610/000000001666/100000000100111024/1.m3u8?IASHttpSessionId=OTT
中国功夫,http://39.134.3.73:6610/000000001666/100000000100111082/1.m3u8?IASHttpSessionId=OTT
优购物,http://39.134.3.73:6610/000000001666/100000000100111085/1.m3u8?IASHttpSessionId=OTT
优风物,http://39.134.3.73:6610/000000001666/100000000100111081/1.m3u8?IASHttpSessionId=OTT
军事评论,http://39.134.3.73:6610/000000001666/100000000100111068/1.m3u8?IASHttpSessionId=OTT
军旅剧场,http://39.134.3.73:6610/000000001666/100000000100111058/1.m3u8?IASHttpSessionId=OTT
农业致富,http://39.134.3.73:6610/000000001666/100000000100111069/1.m3u8?IASHttpSessionId=OTT
冬奥纪实,http://39.134.3.73:6610/000000001666/100000000100111076/1.m3u8?IASHttpSessionId=OTT
